"FILE_ID","FILE_NAME","LOCATION","ELAPSED_TIME","SPECIES","DIFFICULTY_LEVEL","updated_by","updated_on","created_by","created_on"
1271,"2211",,3,"206","3",aws_user,2015-09-01 18:22:52.987,aws_user,2015-09-01 18:22:52.987
1272,"2214",,5,"209","2",aws_user,2015-09-01 18:22:53.010,aws_user,2015-09-01 18:22:53.010
1273,"2224",,5,"305","2",aws_user,2015-09-01 18:22:53.033,aws_user,2015-09-01 18:22:53.033
1274,"2225",,3,"305","3",aws_user,2015-09-01 18:22:53.060,aws_user,2015-09-01 18:22:53.060
1275,"2233",,3,"305","3",aws_user,2015-09-01 18:22:53.083,aws_user,2015-09-01 18:22:53.083
1276,"2238",,5,"212","2",aws_user,2015-09-01 18:22:53.107,aws_user,2015-09-01 18:22:53.107
1277,"2243",,3,"201","3",aws_user,2015-09-01 18:22:53.130,aws_user,2015-09-01 18:22:53.130
1278,"2255",,3,"305","3",aws_user,2015-09-01 18:22:53.157,aws_user,2015-09-01 18:22:53.157
1279,"2256",,10,"306","1",aws_user,2015-09-01 18:22:53.180,aws_user,2015-09-01 18:22:53.180
1280,"2258",,10,"306","1",aws_user,2015-09-01 18:22:53.203,aws_user,2015-09-01 18:22:53.203
1281,"2285",,5,"205","2",aws_user,2015-09-01 18:22:53.230,aws_user,2015-09-01 18:22:53.230
1282,"2288",,5,"205","2",aws_user,2015-09-01 18:22:53.257,aws_user,2015-09-01 18:22:53.257
1283,"2289",,10,"205","1",aws_user,2015-09-01 18:22:53.283,aws_user,2015-09-01 18:22:53.283
1284,"2293",,3,"205","3",aws_user,2015-09-01 18:22:53.323,aws_user,2015-09-01 18:22:53.323
1285,"2298",,3,"205","3",aws_user,2015-09-01 18:22:53.347,aws_user,2015-09-01 18:22:53.347
1286,"2300",,3,"205","3",aws_user,2015-09-01 18:22:53.373,aws_user,2015-09-01 18:22:53.373
1287,"2314",,10,"303","1",aws_user,2015-09-01 18:22:53.400,aws_user,2015-09-01 18:22:53.400
1288,"2323",,3,"303","3",aws_user,2015-09-01 18:22:53.423,aws_user,2015-09-01 18:22:53.423
1289,"2327",,10,"307","1",aws_user,2015-09-01 18:22:53.450,aws_user,2015-09-01 18:22:53.450
1290,"2332",,10,"307","1",aws_user,2015-09-01 18:22:53.473,aws_user,2015-09-01 18:22:53.473
1291,"2336",,5,"307","2",aws_user,2015-09-01 18:22:53.500,aws_user,2015-09-01 18:22:53.500
1292,"2341",,10,"204","1",aws_user,2015-09-01 18:22:53.523,aws_user,2015-09-01 18:22:53.523
1293,"2344",,10,"204","1",aws_user,2015-09-01 18:22:53.553,aws_user,2015-09-01 18:22:53.553
1294,"2346",,5,"204","2",aws_user,2015-09-01 18:22:53.577,aws_user,2015-09-01 18:22:53.577
1295,"2350",,3,"204","3",aws_user,2015-09-01 18:22:53.600,aws_user,2015-09-01 18:22:53.600
1296,"2351",,3,"204","3",aws_user,2015-09-01 18:22:53.627,aws_user,2015-09-01 18:22:53.627
1297,"2363",,3,"210","3",aws_user,2015-09-01 18:22:53.650,aws_user,2015-09-01 18:22:53.650
1298,"2370",,10,"303","1",aws_user,2015-09-01 18:22:53.677,aws_user,2015-09-01 18:22:53.677
1299,"2380",,5,"303","2",aws_user,2015-09-01 18:22:53.703,aws_user,2015-09-01 18:22:53.703
1300,"2395",,3,"303","3",aws_user,2015-09-01 18:22:53.730,aws_user,2015-09-01 18:22:53.730
1301,"2396",,3,"705","3",aws_user,2015-09-01 18:22:53.753,aws_user,2015-09-01 18:22:53.753
1302,"2397",,3,"705","3",aws_user,2015-09-01 18:22:53.777,aws_user,2015-09-01 18:22:53.777
1303,"2401",,5,"706","2",aws_user,2015-09-01 18:22:53.800,aws_user,2015-09-01 18:22:53.800
1304,"2403",,5,"706","2",aws_user,2015-09-01 18:22:53.823,aws_user,2015-09-01 18:22:53.823
1305,"2406",,10,"706","1",aws_user,2015-09-01 18:22:53.850,aws_user,2015-09-01 18:22:53.850
1306,"2413",,3,"706","3",aws_user,2015-09-01 18:22:53.870,aws_user,2015-09-01 18:22:53.870
1307,"2415",,10,"706","1",aws_user,2015-09-01 18:22:53.903,aws_user,2015-09-01 18:22:53.903
1308,"2420",,3,"404","3",aws_user,2015-09-01 18:22:53.927,aws_user,2015-09-01 18:22:53.927
1309,"2423",,3,"420","3",aws_user,2015-09-01 18:22:53.950,aws_user,2015-09-01 18:22:53.950
1310,"2426",,3,"404","3",aws_user,2015-09-01 18:22:53.977,aws_user,2015-09-01 18:22:53.977
1311,"2430",,5,"404","2",aws_user,2015-09-01 18:22:54.000,aws_user,2015-09-01 18:22:54.000
1312,"2432",,5,"404","2",aws_user,2015-09-01 18:22:54.027,aws_user,2015-09-01 18:22:54.027
1313,"2441",,3,"420","3",aws_user,2015-09-01 18:22:54.050,aws_user,2015-09-01 18:22:54.050
1314,"2443",,3,"420","3",aws_user,2015-09-01 18:22:54.073,aws_user,2015-09-01 18:22:54.073
1315,"2444",,3,"404","3",aws_user,2015-09-01 18:22:54.100,aws_user,2015-09-01 18:22:54.100
1316,"2449",,5,"404","2",aws_user,2015-09-01 18:22:54.127,aws_user,2015-09-01 18:22:54.127
1317,"2464",,5,"404","2",aws_user,2015-09-01 18:22:54.170,aws_user,2015-09-01 18:22:54.170
1318,"2476",,3,"207","3",aws_user,2015-09-01 18:22:54.193,aws_user,2015-09-01 18:22:54.193
1319,"2489",,10,"207","1",aws_user,2015-09-01 18:22:54.217,aws_user,2015-09-01 18:22:54.217
1320,"2490",,5,"207","2",aws_user,2015-09-01 18:22:54.240,aws_user,2015-09-01 18:22:54.240
1321,"2498",,3,"214","3",aws_user,2015-09-01 18:22:54.263,aws_user,2015-09-01 18:22:54.263
1322,"2509",,3,"207","3",aws_user,2015-09-01 18:22:54.290,aws_user,2015-09-01 18:22:54.290
1323,"2512",,5,"207","2",aws_user,2015-09-01 18:22:54.313,aws_user,2015-09-01 18:22:54.313
1324,"2525",,5,"209","2",aws_user,2015-09-01 18:22:54.337,aws_user,2015-09-01 18:22:54.337
1325,"2532",,3,"214","3",aws_user,2015-09-01 18:22:54.363,aws_user,2015-09-01 18:22:54.363
1326,"2542",,3,"207","3",aws_user,2015-09-01 18:22:54.390,aws_user,2015-09-01 18:22:54.390
1327,"2543",,3,"214","3",aws_user,2015-09-01 18:22:54.410,aws_user,2015-09-01 18:22:54.410
1328,"2546",,5,"214","2",aws_user,2015-09-01 18:22:54.433,aws_user,2015-09-01 18:22:54.433
1329,"2548",,3,"207","3",aws_user,2015-09-01 18:22:54.460,aws_user,2015-09-01 18:22:54.460
1330,"2572",,10,"207","1",aws_user,2015-09-01 18:22:54.487,aws_user,2015-09-01 18:22:54.487
1331,"2577",,3,"214","3",aws_user,2015-09-01 18:22:54.513,aws_user,2015-09-01 18:22:54.513
1332,"2578",,3,"211","3",aws_user,2015-09-01 18:22:54.537,aws_user,2015-09-01 18:22:54.537
1333,"2581",,5,"214","2",aws_user,2015-09-01 18:22:54.560,aws_user,2015-09-01 18:22:54.560
