"MLog","RescueDate","RescuePerDay","RelDate"
1100,2009-09-17 00:00:00.000,1,2010-09-30 00:00:00.000
1108,2009-10-28 00:00:00.000,1,2011-02-08 00:00:00.000
1109,2009-10-27 00:00:00.000,1,2009-12-15 00:00:00.000
1115,2009-11-30 00:00:00.000,1,2010-02-22 00:00:00.000
1116,2009-12-08 00:00:00.000,1,2012-02-13 00:00:00.000
1117,2009-12-15 00:00:00.000,1,2010-03-02 00:00:00.000
1130,2010-01-07 00:00:00.000,1,2010-11-23 00:00:00.000
1131,2010-01-12 00:00:00.000,1,2012-01-30 00:00:00.000
1132,2010-01-17 00:00:00.000,1,2010-04-07 00:00:00.000
1133,2009-10-26 00:00:00.000,1,2010-02-17 00:00:00.000
1138,2010-01-23 00:00:00.000,1,2010-03-25 00:00:00.000
1139,2010-01-23 00:00:00.000,1,2010-03-25 00:00:00.000
1144,2010-01-22 00:00:00.000,1,2010-03-02 00:00:00.000
1146,2010-01-29 00:00:00.000,1,2010-09-21 00:00:00.000
1147,2010-02-09 00:00:00.000,1,2011-02-09 00:00:00.000
1151,2010-02-21 00:00:00.000,1,2012-02-13 00:00:00.000
1152,2010-02-20 00:00:00.000,1,2012-01-17 00:00:00.000
1153,2010-02-20 00:00:00.000,1,2010-11-23 00:00:00.000
1154,2010-01-29 00:00:00.000,1,2010-09-21 00:00:00.000
1156,2010-02-24 00:00:00.000,1,2010-05-19 00:00:00.000
1158,2010-02-23 00:00:00.000,1,2010-05-18 00:00:00.000
1160,2010-02-23 00:00:00.000,1,2010-06-10 00:00:00.000
1162,2010-02-24 00:00:00.000,1,2010-05-04 00:00:00.000
1165,2010-03-05 00:00:00.000,1,2011-11-09 00:00:00.000
1169,2010-03-08 00:00:00.000,1,2011-03-07 00:00:00.000
1170,2010-03-09 00:00:00.000,1,2011-03-07 00:00:00.000
1172,2010-04-16 00:00:00.000,1,2010-07-20 00:00:00.000
1174,2010-03-14 00:00:00.000,1,2010-10-07 00:00:00.000
1175,2010-03-15 00:00:00.000,1,2010-10-06 00:00:00.000
1176,2010-03-16 00:00:00.000,1,2012-02-21 00:00:00.000
1181,2010-03-24 00:00:00.000,1,2011-03-07 00:00:00.000
1190,2010-06-23 00:00:00.000,1,2011-02-24 00:00:00.000
1193,2010-05-17 00:00:00.000,1,2010-08-26 00:00:00.000
1196,2010-06-28 00:00:00.000,1,2010-07-20 00:00:00.000
1199,2010-06-23 00:00:00.000,1,2010-08-24 00:00:00.000
1200,2010-03-25 00:00:00.000,1,2010-06-15 00:00:00.000
1207,2010-08-09 00:00:00.000,1,2010-11-17 00:00:00.000
1225,2010-10-28 00:00:00.000,1,2010-11-29 00:00:00.000
1226,2010-10-28 00:00:00.000,1,2010-11-29 00:00:00.000
1229,2010-12-22 00:00:00.000,1,2011-02-09 00:00:00.000
1246,2010-12-15 00:00:00.000,1,2011-02-18 00:00:00.000
1247,2010-12-20 00:00:00.000,1,2011-02-18 00:00:00.000
1248,2010-12-22 00:00:00.000,1,2011-02-18 00:00:00.000
1252,2011-02-03 00:00:00.000,1,2011-02-15 00:00:00.000
1253,2011-02-05 00:00:00.000,1,2012-02-08 00:00:00.000
1254,2011-01-13 00:00:00.000,1,2012-02-07 00:00:00.000
1258,2011-01-21 00:00:00.000,1,2011-09-29 00:00:00.000
1259,2011-01-24 00:00:00.000,1,2011-08-11 00:00:00.000
1263,2011-02-15 00:00:00.000,1,2012-01-30 00:00:00.000
1270,2011-01-03 00:00:00.000,1,2012-02-13 00:00:00.000
1272,2011-01-28 00:00:00.000,1,2011-05-04 00:00:00.000
1274,2011-02-01 00:00:00.000,1,2012-01-17 00:00:00.000
1275,2011-02-02 00:00:00.000,1,2011-02-09 00:00:00.000
1276,2011-02-08 00:00:00.000,1,2012-02-07 00:00:00.000
1277,2011-02-02 00:00:00.000,1,2011-02-09 00:00:00.000
1,1997-02-25 00:00:00.000,1,1997-06-17 00:00:00.000
2,1997-04-27 00:00:00.000,1,1998-05-06 00:00:00.000
3,1997-04-29 00:00:00.000,1,1997-06-24 00:00:00.000
4,1997-08-02 00:00:00.000,1,1998-05-06 00:00:00.000
6,1998-02-24 00:00:00.000,1,2000-03-15 00:00:00.000
