"MLog","Name","Primary","CreateBy","CreateDate","UpdateBy","UpdateDate"
216,Amanda calf,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
217,Bob,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
219,Susan,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
220,Casey,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
221,Ross,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
223,Timehri,0,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
223,Timehri/White Dot,1,D,2009-07-09 10:09:34.327,dszemer,2010-11-30 10:40:21.790
223,White Dot,0,D,2009-07-09 10:09:34.327,dszemer,2010-11-30 10:40:11.987
227,Brutus,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
228,Miley,0,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
228,Miley/Mr. Manatee,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
228,Mr. Manatee,0,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
231,Manny,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
232,Mary,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
233,Natalie,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
237,Sunrise,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
239,Moose,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
241,Spike,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
242,Fathom,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
243,Marty,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
244,Pamela,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
245,Georgia,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
246,Debbie,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
247,Savannah,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
249,Marina,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
254,Lillith,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
255,Knicky,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
256,Jake,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
258,Hurricane,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
259,Easter,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
261,Indy,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
264,Beauregard,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
265,Caloosa,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
266,Lucy,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
267,Hugh,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
269,Crazyman,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
271,Demarrara,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
272,Needles,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
273,Phoebe,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
274,Bertram,0,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
274,Monroe,0,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
274,Monroe/Bertram,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
275,MD,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
276,Stormy,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
277,Andrew,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
279,Graham,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
280,Andrea,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
282,Doc,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
284,Rosie's Calf 4,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
285,Dundee,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
286,New Bob,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
288,J Rooker,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
288,Rooker,0,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
289,Coral,0,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
289,J Coral,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
290,Valentine,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
291,Brandy,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
292,Dakota,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
293,Abary,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
294,Phoenix,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
295,Foster,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
296,Sara,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
297,Cyclone,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
298,Newton,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
301,Truby,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
302,Manny,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
305,Bella Caroline,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
306,Danise,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
307,Boo,1,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
