"MLog","RescueDate","RescuePerDay","Gear","GearDesc","EntLoc","CreateBy","CreateDate","UpdateBy","UpdateDate"
111,1997-07-19 00:00:00.000,1,Net,,Unknown,jsmith,1997-07-19 00:00:00.000,D,2009-07-09 10:09:34.327
112,1995-06-20 00:00:00.000,1,Crab,,Unknown,unk,1995-06-20 00:00:00.000,D,2009-07-09 10:09:34.327
113,1997-06-12 00:00:00.000,1,Crab,,Unknown,bbrooks,1997-06-12 00:00:00.000,D,2009-07-09 10:09:34.327
117,1996-06-05 00:00:00.000,1,Crab,,Unknown,unk,1996-06-05 00:00:00.000,D,2009-07-09 10:09:34.327
118,1996-12-04 00:00:00.000,1,Crab,,Unknown,mross,1997-02-06 00:00:00.000,D,2009-07-09 10:09:34.327
119,1998-04-15 00:00:00.000,1,Crab,,Unknown,tpitchford,1998-04-15 00:00:00.000,D,2009-07-09 10:09:34.327
120,2000-05-15 00:00:00.000,1,Oth,"triple, treble hook lure",upper and lower lips,unk,2000-05-15 00:00:00.000,dszemer,2010-12-02 09:30:42.537
121,2000-06-25 00:00:00.000,1,Rope,,Unknown,pcook,2000-06-25 00:00:00.000,D,2009-07-09 10:09:34.327
136,2000-06-08 00:00:00.000,1,Crab,,Unknown,lkeith,2000-06-10 00:00:00.000,D,2009-07-09 10:09:34.327
140,1995-06-14 00:00:00.000,1,Crab,,Unknown,tpitchford,1995-06-14 00:00:00.000,D,2009-07-09 10:09:34.327
141,1995-10-28 00:00:00.000,1,Crab,,Unknown,unk,1995-10-28 00:00:00.000,D,2009-07-09 10:09:34.327
143,1996-05-12 00:00:00.000,1,Crab,,Unknown,jhoffman,1996-05-12 00:00:00.000,D,2009-07-09 10:09:34.327
145,1997-04-01 00:00:00.000,1,Crab,,Unknown,tpitchford,1997-04-02 00:00:00.000,D,2009-07-09 10:09:34.327
147,1997-06-02 00:00:00.000,1,Crab,,Unknown,tpitchford,1997-06-03 00:00:00.000,D,2009-07-09 10:09:34.327
150,1998-02-22 00:00:00.000,1,Crab,,Unknown,tpitchford,1998-03-07 00:00:00.000,D,2009-07-09 10:09:34.327
153,1998-06-03 00:00:00.000,1,FH,,Ingestion,swinslow,1998-06-08 00:00:00.000,dszemer,2010-12-08 11:49:01.527
154,1998-11-30 00:00:00.000,1,Crab,,Unknown,lkeith,1998-12-02 00:00:00.000,D,2009-07-09 10:09:34.327
155,1999-01-30 00:00:00.000,1,Crab,,Unknown,unk,1999-01-30 00:00:00.000,D,2009-07-09 10:09:34.327
159,1986-05-11 00:00:00.000,1,Crab,,Unknown,unk,1986-05-11 00:00:00.000,D,2009-07-09 10:09:34.327
161,1986-07-09 00:00:00.000,1,Crab,,Unknown,dbuesse,1986-07-09 00:00:00.000,D,2009-07-09 10:09:34.327
161,1996-04-27 00:00:00.000,1,Ing,fish hook found in intestines at necropsy,ingested-intestine,dszemer,2014-04-04 09:07:27.237,D,2014-04-04 09:07:27.237
164,1986-11-16 00:00:00.000,1,Crab,,Unknown,unk,1986-11-16 00:00:00.000,D,2009-07-09 10:09:34.327
172,1987-10-30 00:00:00.000,1,Crab,,Unknown,bwagoner,1987-10-30 00:00:00.000,D,2009-07-09 10:09:34.327
177,1988-02-04 00:00:00.000,1,Oth,Unknown,Unknown,bwagoner,1988-02-04 00:00:00.000,D,2009-07-09 10:09:34.327
180,1988-07-04 00:00:00.000,1,Crab,,Unknown,jpearson,1988-07-04 00:00:00.000,D,2009-07-09 10:09:34.327
