"MLog","ReqHalfYr","ReqYear","Health","HealthDiag","Bloods","Status","Time","Weight","EstW","WDate","Length","EstL","LDate","VetID","Org","CreateBy","CreateDate","UpdateBy","UpdateDate"
1098,"2",2017,S,"fair physical condition, good behavior",N,NonPreAct,,590,N,2017-07-17 00:00:00.000,292,N,2017-07-17 00:00:00.000,dmurphy,SFM,mmargold,2017-08-18 09:55:51.043,D,2017-08-18 09:55:51.043
1100,"1",2010,S,"No current health issues at this time,
would like to see a little more weight on him and his pectoral flippers heal up a little more from the 
entanglement.",N,CondRel,W,227,N,2010-02-11 00:00:00.000,215,N,2010-02-11 00:00:00.000,lcroft,SWF,bwagoner,2010-02-14 15:09:52.467,D,2010-02-14 15:09:52.467
1100,"2",2010,S,No current health issues at this time.,N,Release,W,300,N,2010-06-21 00:00:00.000,229,N,2010-06-21 00:00:00.000,lcroft,SWF,bwagoner,2010-08-08 17:15:24.670,D,2010-08-08 17:15:24.670
1107,"1",2010,G,"pneumothorax, good appetite and behavior",X,CondNon,G,350,N,2009-10-13 00:00:00.000,275,N,2009-10-13 00:00:00.000,dmurphy,LPZ,vedmonds,2010-02-20 22:01:47.823,D,2010-02-20 22:01:47.823
1108,"1",2010,S,Healthy and growing,N,Release,W,167,N,2009-12-15 00:00:00.000,196,N,2010-01-14 00:00:00.000,mrodriguez,MSQ,mrodriguez,2010-02-10 12:09:45.077,D,2010-02-10 12:09:45.077
1108,"2",2010,S,Healthy and growing,N,Release,W,249,Y,2010-08-06 00:00:00.000,233,N,2010-07-29 00:00:00.000,mrodriguez,MSQ,mrodriguez,2010-08-06 11:03:42.967,D,2010-08-06 11:03:42.967
1116,"1",2010,S,Healthy and growing,N,Release,W,110,N,2009-12-18 00:00:00.000,182,N,2010-01-14 00:00:00.000,mrodriguez,MSQ,mrodriguez,2010-02-10 12:12:37.487,D,2010-02-10 12:12:37.487
1116,"1",2011,S,Did not make relelase weight,N,Release,W,223,N,2011-03-03 00:00:00.000,215,N,2011-03-03 00:00:00.000,mwalsh,HSSWP,slowe,2011-01-14 08:57:56.093,nadimey,2011-03-07 12:34:29.130
1116,"2",2010,S,Final clearance pending additional weight increase. Total proteins in blood slightly low 4/27/10.,N,Release,W,156,N,2010-04-27 00:00:00.000,195,N,2010-03-11 00:00:00.000,mwalsh,HSSWP,slowe,2010-08-24 15:06:50.057,D,2010-08-24 15:06:50.057
1116,"2",2011,S,Physical and blood work all within normal limits.,N,CondRel,W,279,N,2011-08-04 00:00:00.000,231,N,2011-08-04 00:00:00.000,mwalsh,HSSWP,slowe,2011-08-05 15:33:43.973,D,2011-08-05 15:33:43.973
