"MLog","TagType","DateApplied","TagId","Info","Event","EventDate","CreateBy","CreateDate","UpdateBy","UpdateDate"
7470,Pit-L,2023-02-27 00:00:00.000,"000805692F",,"",,mlippincot,2023-06-30 10:59:24.960,D,2023-06-30 10:59:24.960
7470,Pit-R,2023-02-27 00:00:00.000,"0008055E97",,"",,mlippincot,2023-06-30 10:59:52.700,D,2023-06-30 10:59:52.700
7471,Pit-L,2021-03-09 00:00:00.000,"0007AEEB09",,Rescue,2021-03-09 00:00:00.000,BGoodrum,2021-10-03 09:11:04.210,D,2021-10-03 09:11:04.210
7471,Pit-R,2021-03-09 00:00:00.000,"0007AC46D2",,Rescue,2021-03-09 00:00:00.000,BGoodrum,2021-10-03 09:11:04.213,D,2021-10-03 09:11:04.213
7473,Pit-L,2021-03-11 00:00:00.000,"0007AC8314",,Rescue,2021-03-11 00:00:00.000,BGoodrum,2021-10-03 09:45:14.430,D,2021-10-03 09:45:14.430
7473,Pit-R,2021-03-11 00:00:00.000,"000783E346",,Rescue,2021-03-11 00:00:00.000,BGoodrum,2021-10-03 09:45:14.433,D,2021-10-03 09:45:14.433
7475,Pit-L,2021-08-06 00:00:00.000,"000783ED27",,Rescue,2021-08-06 00:00:00.000,BGoodrum,2021-10-03 10:56:51.497,D,2021-10-03 10:56:51.497
7475,Pit-R,2021-08-06 00:00:00.000,"0007AC9C12",,Rescue,2021-08-06 00:00:00.000,BGoodrum,2021-10-03 10:56:51.497,D,2021-10-03 10:56:51.497
7482,Pit-L,2022-01-11 00:00:00.000,"0007F5B8B9",,"",,lbraso,2022-01-11 12:56:49.460,D,2022-01-11 12:56:49.460
7482,Pit-R,2022-01-11 00:00:00.000,"0007CE949A",,"",,lbraso,2022-01-11 12:58:23.427,D,2022-01-11 12:58:23.427
7494,Pit-L,2021-11-20 00:00:00.000,"0007CEDB18",,"",,lbraso,2022-01-17 09:47:51.957,D,2022-01-17 09:47:51.957
7494,Pit-R,2021-11-20 00:00:00.000,"0007F5D0D8",,"",,lbraso,2022-01-17 09:48:29.887,D,2022-01-17 09:48:29.887
7495,Pit-L,2021-12-14 00:00:00.000,"0007CE9366",By Dr C Stringfield,"",,ngordon,2021-12-26 10:14:51.850,D,2021-12-26 10:14:51.850
7495,Pit-R,2021-12-14 00:00:00.000,"0007F5C254",By Dr. C Stringfield ,"",,ngordon,2021-12-26 10:13:25.373,D,2021-12-26 10:13:25.373
7496,Pit-L,2022-08-10 00:00:00.000,"0008056C5B",,"",,mlippincot,2024-01-23 06:49:52.260,D,2024-01-23 06:49:52.260
7496,Pit-R,2022-08-10 00:00:00.000,"000805612D",,"",,mlippincot,2024-01-23 06:50:12.500,D,2024-01-23 06:50:12.500
7504,Pit-L,2021-11-16 00:00:00.000,"0007F5D664",,"",,lbraso,2021-11-17 06:03:52.143,D,2021-11-17 06:03:52.143
7504,Pit-R,2021-11-16 00:00:00.000,"0007F5BA29",,"",,lbraso,2021-11-17 06:04:32.750,D,2021-11-17 06:04:32.750
7505,Pit-L,2021-11-16 00:00:00.000,"0007F5D25E",,"",,lbraso,2021-11-17 06:06:00.450,D,2021-11-17 06:06:00.450
7505,Pit-R,2021-11-16 00:00:00.000,"0007F5BE11",,"",,lbraso,2021-11-17 06:06:38.340,D,2021-11-17 06:06:38.340
8505,Pit-L,2021-11-16 00:00:00.000,"0007CEDB67",,"",,lbraso,2021-11-17 06:08:04.300,D,2021-11-17 06:08:04.300
8505,Pit-R,2021-11-16 00:00:00.000,"0007F5C743",,"",,lbraso,2021-11-17 06:08:41.367,D,2021-11-17 06:08:41.367
8506,Pit-L,2021-11-16 00:00:00.000,"0007F5B9CC",,"",,lbraso,2021-11-17 06:10:08.720,D,2021-11-17 06:10:08.720
8506,Pit-R,2021-11-16 00:00:00.000,"0007CE8BD4",,"",,lbraso,2021-11-17 06:10:47.190,D,2021-11-17 06:10:47.190
8508,FB,2022-10-27 00:00:00.000,J2,Applied between shoulder blades and on lower back,Release,2023-02-13 00:00:00.000,jheyde,2023-02-14 09:06:35.527,D,2023-02-14 09:06:35.527
8508,Pit-L,2022-06-14 00:00:00.000,"0007F5C412",,Release,2023-02-13 00:00:00.000,jheyde,2023-02-14 09:07:17.123,D,2023-02-14 09:07:17.123
8508,Pit-R,2022-06-14 00:00:00.000,"0007F5D4C7",,Release,2023-02-13 00:00:00.000,jheyde,2023-02-14 09:07:56.653,D,2023-02-14 09:07:56.653
8509,Pit-L,2021-12-18 00:00:00.000,"0007F5CF89",,"",,lbraso,2021-12-20 03:38:18.963,D,2021-12-20 03:38:18.963
8509,Pit-R,2021-12-18 00:00:00.000,"0007F5B82C",,"",,lbraso,2021-12-20 03:39:08.210,D,2021-12-20 03:39:08.210
8512,FB,2023-10-27 00:00:00.000,"39",,"",,lbraso,2023-10-29 06:19:02.760,D,2023-10-29 06:19:02.760
8512,Pit-L,2022-01-16 00:00:00.000,"00080560F3",,"",,lbraso,2022-01-17 09:49:44.460,D,2022-01-17 09:49:44.460
8512,Pit-R,2022-01-16 00:00:00.000,"0008055E8E",,"",,lbraso,2022-01-17 09:50:28.857,D,2022-01-17 09:50:28.857
8514,Pit-L,2022-11-16 00:00:00.000,"0008056E0F",,"",,mlippincot,2023-06-30 13:03:56.980,D,2023-06-30 13:03:56.980
8514,Pit-R,2022-11-16 00:00:00.000,"0008056A8D",,"",,mlippincot,2023-06-30 13:04:16.230,D,2023-06-30 13:04:16.230
8515,FB,2023-11-14 00:00:00.000,"91",,"",,mlippincot,2024-01-26 06:43:30.127,D,2024-01-26 06:43:30.127
8515,Pit-L,2023-02-27 00:00:00.000,"0008056A0B",,"",,mlippincot,2023-06-30 11:21:29.420,D,2023-06-30 11:21:29.420
